categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;586;9200
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1230;9200
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;492;9310
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;558;9340
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;110;9350
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;133;9420
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;4031;9450
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;2133;9460
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;1113;9480
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;772;9500
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;349;9710
true;true;false;false;false;false;false;false;false;false;false;true;false;false;false;199;9730
true;true;true;false;false;false;false;false;false;false;false;true;false;false;false;382;9760
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;150;9800
true;true;false;false;false;false;false;false;false;false;false;true;false;false;false;878;9850
true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;327;9870
true;true;false;false;false;false;false;false;false;false;false;true;false;false;false;878;9880
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;404;9900
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;485;9930
true;false;false;false;false;true;false;false;true;false;false;false;false;false;false;467;9940
true;false;false;false;false;true;true;false;false;false;false;false;true;false;false;579;9960
true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;399;9970
true;false;false;false;false;true;true;false;false;false;false;false;true;false;false;876;9980
true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;4541;9990
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;1539;10090
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;540;10100
true;false;false;false;false;false;true;true;false;true;false;false;false;false;false;394;10110
true;false;false;false;false;false;true;true;false;true;false;false;false;false;false;615;10120
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;2524;10130
true;true;false;false;false;true;false;false;false;false;false;false;true;true;false;169;10140
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;376;10150
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1710;10180
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1794;10180
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;255;10220
false;true;true;false;false;false;true;false;false;false;false;false;false;false;false;7269;10230
true;false;false;false;false;false;false;false;false;true;false;true;false;false;false;129;10240
true;false;false;false;false;false;false;false;false;true;true;false;false;false;false;115;10250
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;3881;10260
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1131;10270
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1131;10460
true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;8853;10500
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;14960;10520
true;true;false;false;false;false;true;false;false;false;false;false;false;true;false;1726;10530
true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;308;10680
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;4146;11020
true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;6793;11040
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;5984;11050
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;2511;11130
false;true;false;false;false;true;true;false;false;false;false;false;false;false;false;2862;11140
false;true;false;false;false;true;true;false;false;false;false;false;false;false;false;692;11150
false;true;false;false;false;false;true;false;false;true;false;false;false;false;false;1706;11180
false;true;false;false;false;false;true;false;false;true;false;false;false;false;false;451;11190
true;false;false;false;false;false;false;true;false;false;true;false;false;false;false;384;11200
